text,type,tone,source
why did the musician get arrested he got in treble,joke,funny,joke_dataset
two guys walked into a bar the third one ducked,joke,funny,joke_dataset
why did the computer crash it had too many tabs open,joke,funny,joke_dataset
what do you call a potato in space spudnik,joke,funny,joke_dataset
why dont elephants hide in trees because they are very good at it,joke,funny,joke_dataset
why did the chicken hold a seance to get to the other side,joke,funny,joke_dataset
what do baby cows eat for lunch at the calfeteria,joke,funny,joke_dataset
what do you call a barbarian you cant see an invisigoth,joke,funny,joke_dataset
what did the car say to the valet i have been through a lot,joke,funny,joke_dataset
why did the baker have dirty hands because he kneaded dough,joke,funny,joke_dataset
what do you call a blind dinosaur a do you think he saw us,joke,funny,joke_dataset
what do you call a three humped camel pregnant,joke,funny,joke_dataset
what do you call a tiny amphibian a my newt,joke,funny,joke_dataset
why dont programmers like nature because of too many bugs,joke,funny,joke_dataset
what do you call a fake noodle an impasta,joke,funny,joke_dataset
why did the math book look sad because it had too many problems,joke,funny,joke_dataset
what do you call cheese that is not yours nacho cheese,joke,funny,joke_dataset
why did the student eat his homework because the teacher said it was a piece of cake,joke,funny,joke_dataset
why did the scarecrow win an award because he was outstanding in his field,joke,funny,joke_dataset
why dont scientists trust atoms because they make up everything,joke,funny,joke_dataset
success comes to those who keep trying despite failure,motivational,inspirational,quotes_dataset
you should focus on what you can control and let go of the rest,advice,serious,quotes_dataset
life can be painful but it teaches valuable lessons,motivational,emotional,quotes_dataset
the sky was painted with soft shades of orange and blue,description,descriptive,quotes_dataset
success comes to those who keep trying even after failure,motivational,inspirational,quotes_dataset
hard work beats talent when talent does not work hard,motivational,inspirational,quotes_dataset
believe in yourself even when no one else does,motivational,inspirational,quotes_dataset
every day is a new chance to improve yourself,motivational,inspirational,quotes_dataset
growth begins when you step out of your comfort zone,motivational,inspirational,quotes_dataset
taking small steps consistently leads to big results,advice,serious,quotes_dataset
do not rush decisions take time to think clearly,advice,serious,quotes_dataset
learn from your mistakes instead of repeating them,advice,serious,quotes_dataset
surround yourself with people who support your goals,advice,serious,quotes_dataset
life can feel overwhelming but it teaches valuable lessons,motivational,emotional,quotes_dataset
sometimes the hardest moments shape who you become,motivational,emotional,quotes_dataset
it hurts to let go but sometimes it is necessary to grow,motivational,emotional,quotes_dataset
memories can bring both happiness and pain at the same time,motivational,emotional,quotes_dataset
the silence often says more than words ever could,motivational,emotional,quotes_dataset
the sunset painted the sky with shades of orange and gold,description,descriptive,generated
the room was filled with soft light and quiet warmth,description,descriptive,generated
the city streets were crowded and full of energy,description,descriptive,generated
the mountain stood tall covered in mist and clouds,description,descriptive,generated
the ocean waves moved gently under the bright sky,description,descriptive,generated
hello how are you doing today,conversational,casual,conversation_dataset
i think you should take a break and relax for a while,advice,casual,conversation_dataset
that sounds like a really good idea to me,conversational,casual,conversation_dataset
i understand how you feel it can be tough sometimes,conversational,emotional,conversation_dataset
let me know if you need any help with that,conversational,casual,conversation_dataset
artificial intelligence allows machines to learn from data,informational,formal,wikipedia
machine learning is a method of improving performance using experience,informational,formal,wikipedia
data science involves analyzing data to extract useful insights,informational,formal,wikipedia
neural networks are inspired by the structure of the human brain,explanation,formal,wikipedia
algorithms are step by step procedures used to solve problems,explanation,formal,wikipedia
a database is a system used to store and manage information,informational,formal,wikipedia
cloud computing allows access to data and services over the internet,informational,formal,wikipedia
